ID	LABEL	Definition	def_xref	is_a	part_of	develops_from	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	SC BFO:0000050 some %	SC RO:0002202 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_8930100	free taenia coli	"An organ component layer composed primarily of smooth muscle that forms one of the three longitudinal ribbons (taeniae) of the colon musculature, positioned anteriorly in the cecum, ascending colon, descending colon, and sigmoid colon, and inferiorly in the transverse colon."	ISBN:978-1496398949|https://purl.org/ccf/ASCTB-TEMP_free-coli|PMID:29218384|PMID:30324463	UBERON:0012419	UBERON:0011198		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Taenia_coli
http://purl.obolibrary.org/obo/UBERON_8930101	mesocolic taenia coli	"An organ component layer composed primarily of smooth muscle that forms one of the three longitudinal ribbons (taeniae) of the colon musculature, present on the posteromedial surface of the cecum, ascending colon, descending colon, and sigmoid colon, and positioned posteriorly on the transverse colon at the site of attachment of the transverse mesocolon."	ISBN:978-1496398949|https://purl.org/ccf/ASCTB-TEMP_mesocolic-coli|PMID:29218384|PMID:30324463	UBERON:0012419	UBERON:0011198		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Taenia_coli
http://purl.obolibrary.org/obo/UBERON_8930102	omental taenia coli	"An organ component layer composed primarily of smooth muscle that forms one of the three longitudinal ribbons (taeniae) of the colon musculature, situated posterolaterally in the cecum, ascending colon, descending colon, and sigmoid colon, and on the anterosuperior surface of the transverse colon where layers three and four of the greater omentum meet the transverse colon."	ISBN:978-1496398949|https://purl.org/ccf/ASCTB-TEMP_omental-coli|PMID:29218384|PMID:30324463	UBERON:0012419	UBERON:0011198		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Taenia_coli
http://purl.obolibrary.org/obo/UBERON_8930104	connective tissue sheath	"A layer of connective tissue that surrounds the epithelial components of the hair follicle, providing structural support and containing fibroblasts and extracellular matrix proteins including type I collagen."	https://purl.org/ccf/ASCTB-TEMP_connective-tissue-sheath|PMID:23036740|PMID:2078047	UBERON:0002384	UBERON:0002073		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		Wikipedia:Hair_follicle
