defined_class	defined_class_label	structure	structure_label
http://purl.obolibrary.org/obo/UBERON_0000985	axillary vein	http://purl.obolibrary.org/obo/UBERON_0009472	axilla
http://purl.obolibrary.org/obo/UBERON_0001592	bronchial vein	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/UBERON_0001668	cerebellar vein	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/UBERON_0001663	cerebral vein	http://purl.obolibrary.org/obo/UBERON_0001893	telencephalon
http://purl.obolibrary.org/obo/UBERON_0001549	dorsal metatarsal vein	http://purl.obolibrary.org/obo/UBERON_0000983	metatarsus region
http://purl.obolibrary.org/obo/UBERON_0006356	epigastric vein	http://purl.obolibrary.org/obo/UBERON_0006635	anterior abdominal wall
http://purl.obolibrary.org/obo/UBERON_0004450	gastric vein	http://purl.obolibrary.org/obo/UBERON_0001163	lesser curvature of stomach
http://purl.obolibrary.org/obo/UBERON_0013143	gastrocnemius vein	http://purl.obolibrary.org/obo/UBERON_0001388	gastrocnemius
http://purl.obolibrary.org/obo/UBERON_0001143	hepatic vein	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/UBERON_0001217	ileal vein	http://purl.obolibrary.org/obo/UBERON_0002116	ileum
http://purl.obolibrary.org/obo/UBERON_0001318	inferior vesical vein	http://purl.obolibrary.org/obo/UBERON_0006082	fundus of urinary bladder
http://purl.obolibrary.org/obo/UBERON_0009887	interlobar vein	http://purl.obolibrary.org/obo/UBERON_0009913	renal lobe
http://purl.obolibrary.org/obo/UBERON_0001216	jejunal vein	http://purl.obolibrary.org/obo/UBERON_0002115	jejunum
http://purl.obolibrary.org/obo/UBERON_0018256	lacrimal vein	http://purl.obolibrary.org/obo/UBERON_0001817	lacrimal gland
http://purl.obolibrary.org/obo/UBERON_8410033	lymph node vein	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node
http://purl.obolibrary.org/obo/UBERON_0001674	masseteric vein	http://purl.obolibrary.org/obo/UBERON_0001597	masseter muscle
http://purl.obolibrary.org/obo/UBERON_0018251	meningeal vein	http://purl.obolibrary.org/obo/UBERON_0002360	meninx
http://purl.obolibrary.org/obo/UBERON_0005617	mesenteric vein	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
http://purl.obolibrary.org/obo/UBERON_0001145	ovarian vein	http://purl.obolibrary.org/obo/UBERON_0000992	ovary
http://purl.obolibrary.org/obo/UBERON_0014769	palpebral vein	http://purl.obolibrary.org/obo/UBERON_0001711	eyelid
http://purl.obolibrary.org/obo/UBERON_0035662	parotid vein	http://purl.obolibrary.org/obo/UBERON_0001831	parotid gland
http://purl.obolibrary.org/obo/UBERON_0036268	pelvic vein	http://purl.obolibrary.org/obo/UBERON_0002355	pelvic region of trunk
http://purl.obolibrary.org/obo/UBERON_0012193	phrenic vein	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm
http://purl.obolibrary.org/obo/UBERON_0002016	pulmonary vein	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/UBERON_0005269	renal cortex vein	http://purl.obolibrary.org/obo/UBERON_0001225	cortex of kidney
http://purl.obolibrary.org/obo/UBERON_0001140	renal vein	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/UBERON_0039228	sigmoid vein	http://purl.obolibrary.org/obo/UBERON_0001159	sigmoid colon
http://purl.obolibrary.org/obo/UBERON_0013142	soleal vein	http://purl.obolibrary.org/obo/UBERON_0001389	soleus muscle
http://purl.obolibrary.org/obo/UBERON_0006355	superior vesical vein	http://purl.obolibrary.org/obo/UBERON_0000056	ureter
http://purl.obolibrary.org/obo/UBERON_0001146	suprarenal vein	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/UBERON_0001671	temporal vein	http://purl.obolibrary.org/obo/UBERON_0003251	temporal part of head
http://purl.obolibrary.org/obo/UBERON_0001144	testicular vein	http://purl.obolibrary.org/obo/UBERON_0000473	testis
http://purl.obolibrary.org/obo/UBERON_0002089	thoracodorsal vein	http://purl.obolibrary.org/obo/UBERON_0001112	latissimus dorsi muscle
http://purl.obolibrary.org/obo/UBERON_0001591	thymic vein	http://purl.obolibrary.org/obo/UBERON_0002370	thymus
http://purl.obolibrary.org/obo/UBERON_0018246	thyroid vein	http://purl.obolibrary.org/obo/UBERON_0002046	thyroid gland
http://purl.obolibrary.org/obo/UBERON_0035546	uveal vein	http://purl.obolibrary.org/obo/UBERON_0001768	uvea
http://purl.obolibrary.org/obo/UBERON_0002460	vesical vein	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder
http://purl.obolibrary.org/obo/UBERON_0005487	vitelline vein	http://purl.obolibrary.org/obo/UBERON_0001040	yolk sac
http://purl.obolibrary.org/obo/UBERON_0036267	vulval vein	http://purl.obolibrary.org/obo/UBERON_0000997	mammalian vulva
