label	as_iri	issue_type	parent_id	parent_label	detail
corona radiata	https://purl.org/ccf/ASCTB-TEMP_corona-radiata	asctb_temp_parent	UBERON:0004641, UBERON:0003337, https://purl.org/ccf/ASCTB-TEMP_serosa	spleen capsule, serosa of jejunum, serosa	Parent not yet in UBERON; subagent should search OLS4 for correct parent
cumulus oophorus oocyte complex	https://purl.org/ccf/ASCTB-TEMP_cumulus-oophorus-oocyte-complex	fma_parent	FMA:234924	Brachial lymphatic vessel	Subagent should resolve FMA→UBERON via OLS4
multilayer ovarian follicle	https://purl.org/ccf/ASCTB-TEMP_multilayer-ovarian-follicle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_preantral-follicle	preantral follicle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
transitional primary ovarian follicle	https://purl.org/ccf/ASCTB-TEMP_transitional-primary-ovarian-follicle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_preantral-follicle	preantral follicle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
transitional primordial ovarian follicle	https://purl.org/ccf/ASCTB-TEMP_transitional-primordial-ovarian-follicle	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_preantral-follicle	preantral follicle	Parent not yet in UBERON; subagent should search OLS4 for correct parent
