property,p_label,usage,class1,class2
http://purl.obolibrary.org/obo/BFO_0000050,part of,8105,http://purl.obolibrary.org/obo/UBERON_2002165,http://purl.obolibrary.org/obo/UBERON_4000167
http://purl.obolibrary.org/obo/RO_0002202,develops from,1463,http://purl.obolibrary.org/obo/UBERON_2007054,http://purl.obolibrary.org/obo/UBERON_2000232
http://purl.obolibrary.org/obo/RO_0002160,only in taxon,779,http://purl.obolibrary.org/obo/UBERON_0009716,http://purl.obolibrary.org/obo/NCBITaxon_7712
http://purl.obolibrary.org/obo/RO_0002433,contributes to morphology of,649,http://purl.obolibrary.org/obo/UBERON_0004363,http://purl.obolibrary.org/obo/UBERON_0002539
http://purl.obolibrary.org/obo/BFO_0000051,has part,637,http://purl.obolibrary.org/obo/UBERON_0008859,http://purl.obolibrary.org/obo/CL_0000319
http://purl.obolibrary.org/obo/RO_0002131,overlaps,278,http://purl.obolibrary.org/obo/UBERON_0013646,http://purl.obolibrary.org/obo/UBERON_0001567
http://purl.obolibrary.org/obo/RO_0002373,has muscle insertion,237,http://purl.obolibrary.org/obo/UBERON_8410070,http://purl.obolibrary.org/obo/UBERON_0002228
http://purl.obolibrary.org/obo/RO_0002220,adjacent to,232,http://purl.obolibrary.org/obo/UBERON_0016480,http://purl.obolibrary.org/obo/UBERON_0004647
http://purl.obolibrary.org/obo/RO_0002372,has muscle origin,228,http://purl.obolibrary.org/obo/UBERON_0011605,http://purl.obolibrary.org/obo/UBERON_0011604
http://purl.obolibrary.org/obo/RO_0002473,composed primarily of,192,http://purl.obolibrary.org/obo/UBERON_0003681,http://purl.obolibrary.org/obo/UBERON_0001134
http://purl.obolibrary.org/obo/RO_0002005,innervated_by,190,http://purl.obolibrary.org/obo/UBERON_0001109,http://purl.obolibrary.org/obo/UBERON_0005430
http://purl.obolibrary.org/obo/RO_0002380,branching part of,183,http://purl.obolibrary.org/obo/UBERON_0015157,http://purl.obolibrary.org/obo/UBERON_0001614
http://purl.obolibrary.org/obo/RO_0002176,connects,173,http://purl.obolibrary.org/obo/UBERON_0016910,http://purl.obolibrary.org/obo/UBERON_0003679
http://purl.obolibrary.org/obo/RO_0002254,has developmental contribution from,153,http://purl.obolibrary.org/obo/UBERON_0002255,http://purl.obolibrary.org/obo/UBERON_0009714
http://purl.obolibrary.org/obo/RO_0002216,capable of part of,141,http://purl.obolibrary.org/obo/UBERON_0002518,http://purl.obolibrary.org/obo/GO_0060007
http://purl.obolibrary.org/obo/BSPO_0000126,in lateral side of,134,http://purl.obolibrary.org/obo/UBERON_0001682,http://purl.obolibrary.org/obo/UBERON_0012072
