property,p_label,usage,class1,class2
http://purl.obolibrary.org/obo/RO_0001025,located in,127,http://purl.obolibrary.org/obo/UBERON_0001341,http://purl.obolibrary.org/obo/UBERON_0001179
http://purl.obolibrary.org/obo/RO_0002376,tributary of,101,http://purl.obolibrary.org/obo/UBERON_0001214,http://purl.obolibrary.org/obo/UBERON_0003713
http://purl.obolibrary.org/obo/RO_0002215,capable of,96,http://purl.obolibrary.org/obo/UBERON_0001690,http://purl.obolibrary.org/obo/GO_0050910
http://purl.obolibrary.org/obo/RO_0002150,continuous with,90,http://purl.obolibrary.org/obo/UBERON_0001052,http://purl.obolibrary.org/obo/UBERON_0001159
http://purl.obolibrary.org/obo/RO_0002170,connected to,89,http://purl.obolibrary.org/obo/UBERON_0010388,http://purl.obolibrary.org/obo/UBERON_0002412
http://purl.obolibrary.org/obo/RO_0002371,attached to,88,http://purl.obolibrary.org/obo/UBERON_0012649,http://purl.obolibrary.org/obo/UBERON_0001052
http://purl.obolibrary.org/obo/RO_0000086,has quality,78,http://purl.obolibrary.org/obo/UBERON_0001752,http://purl.obolibrary.org/obo/PATO_0002444
http://purl.obolibrary.org/obo/RO_0002178,supplies,72,http://purl.obolibrary.org/obo/UBERON_0015162,http://purl.obolibrary.org/obo/UBERON_0001604
http://purl.obolibrary.org/obo/uberon/core#proximally_connected_to,proximally connected to,71,http://purl.obolibrary.org/obo/UBERON_0004332,http://purl.obolibrary.org/obo/UBERON_0003650
http://purl.obolibrary.org/obo/RO_0002221,surrounds,71,http://purl.obolibrary.org/obo/UBERON_0004882,http://purl.obolibrary.org/obo/UBERON_0001705
http://purl.obolibrary.org/obo/RO_0002495,immediate transformation of,70,http://purl.obolibrary.org/obo/UBERON_0005110,http://purl.obolibrary.org/obo/UBERON_0010535
http://purl.obolibrary.org/obo/RO_0002387,has potential to develop into,66,http://purl.obolibrary.org/obo/UBERON_0013238,http://purl.obolibrary.org/obo/UBERON_0035651
http://purl.obolibrary.org/obo/RO_0002551,has skeleton,51,http://purl.obolibrary.org/obo/UBERON_0012142,http://purl.obolibrary.org/obo/UBERON_0012152
http://purl.obolibrary.org/obo/RO_0002568,has muscle antagonist,49,http://purl.obolibrary.org/obo/UBERON_0001370,http://purl.obolibrary.org/obo/UBERON_0001298
http://purl.obolibrary.org/obo/RO_0002162,in taxon,47,http://purl.obolibrary.org/obo/UBERON_0002351,http://purl.obolibrary.org/obo/NCBITaxon_7742
http://purl.obolibrary.org/obo/uberon/core#distally_connected_to,distally connected to,45,http://purl.obolibrary.org/obo/UBERON_0010737,http://purl.obolibrary.org/obo/UBERON_0003653
http://purl.obolibrary.org/obo/RO_0002134,innervates,44,http://purl.obolibrary.org/obo/UBERON_3010764,http://purl.obolibrary.org/obo/UBERON_0000945
http://purl.obolibrary.org/obo/RO_0002494,transformation of,43,http://purl.obolibrary.org/obo/UBERON_0004270,http://purl.obolibrary.org/obo/UBERON_0005259
http://purl.obolibrary.org/obo/RO_0002374,derived from ancestral fusion of,41,http://purl.obolibrary.org/obo/UBERON_0012316,http://purl.obolibrary.org/obo/UBERON_0004745
http://purl.obolibrary.org/obo/uberon/core#extends_fibers_into,extends_fibers_into,39,http://purl.obolibrary.org/obo/UBERON_0000052,http://purl.obolibrary.org/obo/UBERON_0002206
http://purl.obolibrary.org/obo/uberon/core#channel_for,channel for,38,http://purl.obolibrary.org/obo/UBERON_0001000,http://purl.obolibrary.org/obo/UBERON_0001968
http://purl.obolibrary.org/obo/RO_0002492,existence ends during,34,http://purl.obolibrary.org/obo/UBERON_0002204,http://purl.obolibrary.org/obo/UBERON_0000066
http://purl.obolibrary.org/obo/uberon/core#conduit_for,conduit for,33,http://purl.obolibrary.org/obo/UBERON_0011859,http://purl.obolibrary.org/obo/UBERON_0001647
http://purl.obolibrary.org/obo/RO_0002219,surrounded by,32,http://purl.obolibrary.org/obo/UBERON_0000200,http://purl.obolibrary.org/obo/UBERON_0013118
http://purl.obolibrary.org/obo/BFO_0000067,contains process,28,http://purl.obolibrary.org/obo/UBERON_0007132,http://purl.obolibrary.org/obo/GO_0030097
http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to,anteriorly connected to,27,http://purl.obolibrary.org/obo/UBERON_0004620,http://purl.obolibrary.org/obo/UBERON_0004619
http://purl.obolibrary.org/obo/uberon/core#channels_from,channels_from,26,http://purl.obolibrary.org/obo/UBERON_0006947,http://purl.obolibrary.org/obo/UBERON_0000473
http://purl.obolibrary.org/obo/RO_0002007,bounding layer of,25,http://purl.obolibrary.org/obo/UBERON_0016567,http://purl.obolibrary.org/obo/UBERON_0002518
http://purl.obolibrary.org/obo/RO_0002256,developmentally induced by,23,http://purl.obolibrary.org/obo/UBERON_0007005,http://purl.obolibrary.org/obo/UBERON_0009881
http://purl.obolibrary.org/obo/BSPO_0001107,immediately deep to,23,http://purl.obolibrary.org/obo/UBERON_0001763,http://purl.obolibrary.org/obo/UBERON_0005176
http://purl.obolibrary.org/obo/BFO_0000062,preceded by,23,_:b0,http://purl.obolibrary.org/obo/UBERON_0007221
http://purl.obolibrary.org/obo/RO_0002179,drains,22,http://purl.obolibrary.org/obo/UBERON_0006656,http://purl.obolibrary.org/obo/UBERON_0004713
http://purl.obolibrary.org/obo/BSPO_0005001,intersects midsagittal plane of,22,http://purl.obolibrary.org/obo/UBERON_0005970,http://purl.obolibrary.org/obo/UBERON_0000955
http://purl.obolibrary.org/obo/RO_0003000,produces,22,http://purl.obolibrary.org/obo/UBERON_0012641,http://purl.obolibrary.org/obo/UBERON_0012646
http://purl.obolibrary.org/obo/uberon/core#channels_into,channels_into,20,http://purl.obolibrary.org/obo/UBERON_0000056,http://purl.obolibrary.org/obo/UBERON_0001255
http://purl.obolibrary.org/obo/RO_0003001,produced by,16,http://purl.obolibrary.org/obo/UBERON_0011587,http://purl.obolibrary.org/obo/CL_0000060
http://purl.obolibrary.org/obo/RO_0002488,existence starts during,13,http://purl.obolibrary.org/obo/UBERON_0004750,http://purl.obolibrary.org/obo/UBERON_0000108
http://purl.obolibrary.org/obo/BSPO_0001113,preaxialmost part of,11,http://purl.obolibrary.org/obo/UBERON_0005880,http://purl.obolibrary.org/obo/UBERON_0004452
http://purl.obolibrary.org/obo/uberon/core#sexually_homologous_to,sexually_homologous_to,11,http://purl.obolibrary.org/obo/UBERON_0010145,http://purl.obolibrary.org/obo/UBERON_0002367
http://purl.obolibrary.org/obo/uberon/core#site_of,site_of,11,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/GO_0002384
http://purl.obolibrary.org/obo/BSPO_0000108,superficial to,11,http://purl.obolibrary.org/obo/UBERON_0002689,http://purl.obolibrary.org/obo/UBERON_0000201
http://purl.obolibrary.org/obo/BSPO_0000107,deep to,10,http://purl.obolibrary.org/obo/UBERON_0014838,http://purl.obolibrary.org/obo/UBERON_0001100
http://purl.obolibrary.org/obo/BSPO_0000098,dorsal to,10,http://purl.obolibrary.org/obo/UBERON_8440024,http://purl.obolibrary.org/obo/UBERON_0034893
http://purl.obolibrary.org/obo/RO_0002353,output of,10,http://purl.obolibrary.org/obo/UBERON_0007842,http://purl.obolibrary.org/obo/GO_0001957
http://purl.obolibrary.org/obo/RO_0002082,simultaneous with,10,http://purl.obolibrary.org/obo/UBERON_0004730,http://purl.obolibrary.org/obo/GO_0002168
http://purl.obolibrary.org/obo/BSPO_0000102,ventral to,10,http://purl.obolibrary.org/obo/UBERON_0016843,http://purl.obolibrary.org/obo/UBERON_0002779
http://purl.obolibrary.org/obo/RO_0001019,contains,9,http://purl.obolibrary.org/obo/UBERON_0034941,http://purl.obolibrary.org/obo/UBERON_0000178
http://purl.obolibrary.org/obo/RO_0002226,develops in,9,http://purl.obolibrary.org/obo/UBERON_0013631,http://purl.obolibrary.org/obo/UBERON_0007846
http://purl.obolibrary.org/obo/BSPO_0000120,in left side of,9,http://purl.obolibrary.org/obo/UBERON_0035410,http://purl.obolibrary.org/obo/UBERON_0000916
http://purl.obolibrary.org/obo/uberon/core#protects,protects,9,http://purl.obolibrary.org/obo/UBERON_0022287,http://purl.obolibrary.org/obo/UBERON_0010409
http://purl.obolibrary.org/obo/BSPO_0000096,anterior to,8,http://purl.obolibrary.org/obo/UBERON_0002229,http://purl.obolibrary.org/obo/UBERON_0001676
http://purl.obolibrary.org/obo/RO_0002087,immediately preceded by,8,_:b1,http://purl.obolibrary.org/obo/UBERON_0034920
http://purl.obolibrary.org/obo/RO_0002285,developmentally replaces,7,http://purl.obolibrary.org/obo/UBERON_0009692,http://purl.obolibrary.org/obo/UBERON_0005625
http://purl.obolibrary.org/obo/RO_0002180,has component,7,http://purl.obolibrary.org/obo/UBERON_0000050,http://purl.obolibrary.org/obo/UBERON_0005389
http://purl.obolibrary.org/obo/BSPO_0000099,posterior to,7,http://purl.obolibrary.org/obo/UBERON_0013203,http://purl.obolibrary.org/obo/UBERON_0007118
http://purl.obolibrary.org/obo/RO_0002322,confers advantage in,6,http://purl.obolibrary.org/obo/UBERON_0008897,http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/RO_0001015,location of,6,http://purl.obolibrary.org/obo/UBERON_0006860,http://purl.obolibrary.org/obo/UBERON_0034873
http://purl.obolibrary.org/obo/RO_0000056,participates in,6,http://purl.obolibrary.org/obo/UBERON_4000146,http://purl.obolibrary.org/obo/GO_0001958
http://purl.obolibrary.org/obo/BSPO_0001115,postaxialmost part of,6,_:b2,http://purl.obolibrary.org/obo/UBERON_0002470
http://purl.obolibrary.org/obo/RO_0002225,develops from part of,5,http://purl.obolibrary.org/obo/UBERON_0010063,http://purl.obolibrary.org/obo/UBERON_0010020
http://purl.obolibrary.org/obo/RO_0002351,has member,5,http://purl.obolibrary.org/obo/UBERON_0004572,http://purl.obolibrary.org/obo/UBERON_0001637
http://purl.obolibrary.org/obo/BSPO_0000123,in anterior side of,5,http://purl.obolibrary.org/obo/UBERON_0015599,http://purl.obolibrary.org/obo/UBERON_0002336
http://purl.obolibrary.org/obo/RO_0002496,existence starts during or after,4,_:b3,http://purl.obolibrary.org/obo/UBERON_0000111
http://purl.obolibrary.org/obo/RO_0002328,functionally related to,4,http://purl.obolibrary.org/obo/UBERON_0010707,http://purl.obolibrary.org/obo/GO_0040011
http://purl.obolibrary.org/obo/BSPO_0001101,in deep part of,4,http://purl.obolibrary.org/obo/UBERON_0010995,http://purl.obolibrary.org/obo/UBERON_0001597
http://purl.obolibrary.org/obo/BSPO_0000122,in posterior side of,4,http://purl.obolibrary.org/obo/UBERON_0001802,http://purl.obolibrary.org/obo/UBERON_0010230
http://purl.obolibrary.org/obo/BSPO_0001100,in superficial part of,4,http://purl.obolibrary.org/obo/UBERON_0005978,http://purl.obolibrary.org/obo/UBERON_0002264
http://purl.obolibrary.org/obo/uberon/core#indirectly_supplies,indirectly_supplies,4,http://purl.obolibrary.org/obo/UBERON_0001640,http://purl.obolibrary.org/obo/UBERON_0002107
http://purl.obolibrary.org/obo/BSPO_0000100,proximal to,4,http://purl.obolibrary.org/obo/UBERON_0036219,http://purl.obolibrary.org/obo/UBERON_0008963
http://purl.obolibrary.org/obo/RO_0002491,existence starts and ends during,3,_:b4,http://purl.obolibrary.org/obo/UBERON_0000068
http://purl.obolibrary.org/obo/BSPO_0015014,immediately superficial to,3,http://purl.obolibrary.org/obo/UBERON_0018687,http://purl.obolibrary.org/obo/UBERON_0000956
http://purl.obolibrary.org/obo/BSPO_0000121,in right side of,3,http://purl.obolibrary.org/obo/UBERON_0005987,http://purl.obolibrary.org/obo/UBERON_0002353
http://purl.obolibrary.org/obo/BFO_0000063,precedes,3,http://purl.obolibrary.org/obo/UBERON_0000068,http://purl.obolibrary.org/obo/UBERON_0000092
http://purl.obolibrary.org/obo/RO_0002159,serially homologous to,3,http://purl.obolibrary.org/obo/UBERON_0011634,http://purl.obolibrary.org/obo/UBERON_0001682
http://purl.obolibrary.org/obo/BSPO_0000097,distal to,2,http://purl.obolibrary.org/obo/UBERON_0012354,http://purl.obolibrary.org/obo/UBERON_0009877
http://purl.obolibrary.org/obo/BSPO_0001108,distalmost part of,2,http://purl.obolibrary.org/obo/UBERON_0012462,http://purl.obolibrary.org/obo/UBERON_0000162
http://purl.obolibrary.org/obo/uberon/core#filtered_through,filtered through,2,http://purl.obolibrary.org/obo/UBERON_0007780,http://purl.obolibrary.org/obo/UBERON_0001981
http://purl.obolibrary.org/obo/RO_0002385,has potential to developmentally contribute to,2,http://purl.obolibrary.org/obo/UBERON_0003078,http://purl.obolibrary.org/obo/UBERON_0002410
http://purl.obolibrary.org/obo/BSPO_0015101,in dorsal side of,2,http://purl.obolibrary.org/obo/UBERON_0012477,http://purl.obolibrary.org/obo/UBERON_0000974
http://purl.obolibrary.org/obo/RO_0002572,luminal space of,2,http://purl.obolibrary.org/obo/UBERON_0002323,http://purl.obolibrary.org/obo/UBERON_0011997
http://purl.obolibrary.org/obo/BSPO_0001106,proximalmost part of,2,http://purl.obolibrary.org/obo/UBERON_0012420,http://purl.obolibrary.org/obo/UBERON_0000162
http://purl.obolibrary.org/obo/BSPO_0015202,aboral to,1,http://purl.obolibrary.org/obo/UBERON_0008259,http://purl.obolibrary.org/obo/UBERON_0008258
http://purl.obolibrary.org/obo/RO_0002229,ends,1,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/UBERON_0000104
http://purl.obolibrary.org/obo/RO_0002230,ends with,1,http://purl.obolibrary.org/obo/UBERON_0000104,http://purl.obolibrary.org/obo/UBERON_0000071
http://purl.obolibrary.org/obo/RO_0002497,existence ends during or before,1,http://purl.obolibrary.org/obo/UBERON_0000061,http://purl.obolibrary.org/obo/UBERON_0000071
http://purl.obolibrary.org/obo/RO_0002493,existence ends with,1,http://purl.obolibrary.org/obo/UBERON_0004716,http://purl.obolibrary.org/obo/UBERON_0000068
http://purl.obolibrary.org/obo/RO_0002489,existence starts with,1,http://purl.obolibrary.org/obo/UBERON_0004716,http://purl.obolibrary.org/obo/UBERON_0000068
http://purl.obolibrary.org/obo/RO_0002002,has 2D boundary,1,http://purl.obolibrary.org/obo/UBERON_0000062,http://purl.obolibrary.org/obo/UBERON_0006984
http://purl.obolibrary.org/obo/BSPO_0015009,immediately anterior to,1,http://purl.obolibrary.org/obo/UBERON_0035635,http://purl.obolibrary.org/obo/UBERON_0013771
http://purl.obolibrary.org/obo/BSPO_0015012,immediately posterior to,1,http://purl.obolibrary.org/obo/UBERON_0035636,http://purl.obolibrary.org/obo/UBERON_0013771
http://purl.obolibrary.org/obo/BSPO_0015102,in ventral side of,1,http://purl.obolibrary.org/obo/UBERON_0003079,http://purl.obolibrary.org/obo/UBERON_0001049
http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to,posteriorly connected to,1,http://purl.obolibrary.org/obo/UBERON_0000974,http://purl.obolibrary.org/obo/UBERON_0002100
http://purl.obolibrary.org/obo/RO_0002223,starts,1,http://purl.obolibrary.org/obo/UBERON_0000106,http://purl.obolibrary.org/obo/UBERON_0000104
http://purl.obolibrary.org/obo/RO_0002224,starts with,1,_:b5,http://purl.obolibrary.org/obo/UBERON_0000106
http://purl.obolibrary.org/obo/uberon/core#subdivision_of,subdivision of,1,http://purl.obolibrary.org/obo/UBERON_0013522,http://purl.obolibrary.org/obo/UBERON_0000025
