table	as_iri	label	uberon_id	parent_id	parent_label	references	term_type
	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-ampulla	basement membrane of fallopian tube ampulla		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of Fallopian tube ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-infundibulum	basement membrane of fallopian tube infundibulum		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of Fallopian tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-intramural-segment	basement membrane of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment	wall of Fallopian tube intramural segment		leaf
	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-isthmus	basement membrane of fallopian tube isthmus		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus	wall of Fallopian tube isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-ampulla	fluid of fallopian tube ampulla		UBERON:0012648	ampulla of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-fimbria	fluid of fallopian tube fimbria		UBERON:8410010	fimbria of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-infundibulum	fluid of fallopian tube infundibulum		UBERON:0003984	uterine tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-intramural-segment	fluid of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-isthmus	fluid of fallopian tube isthmus		UBERON:0016632	isthmus of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-ampulla	inner muscle layer of fallopian tube ampulla		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-infundibulum	inner muscle layer of fallopian tube infundibulum		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-intramural-segment	inner muscle layer of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment		leaf
	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-isthmus	inner muscle layer of fallopian tube isthmus		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of fallopian tube		UBERON:0003889	fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_lamina-propria-fallopian-tube-ampulla	lamina propria Fallopian tube ampulla		UBERON:0012648	ampulla of fallopian tube	https://doi.org/10.1016/j.celrep.2021.108978, PMID:25994820, PMID:16938110	leaf
	https://purl.org/ccf/ASCTB-TEMP_lamina-propria-of-fallopian-tube-fimbria	lamina propria of Fallopian tube fimbria		UBERON:8410010	fimbria of fallopian tube	https://doi.org/10.1016/j.celrep.2021.108978, PMID:25994820, PMID:16938110	leaf
	https://purl.org/ccf/ASCTB-TEMP_lamina-propria-of-fallopian-tube-infundibulum	lamina propria of Fallopian tube infundibulum		UBERON:0003984	uterine tube infundibulum	https://doi.org/10.1016/j.celrep.2021.108978, PMID:25994820, PMID:16938110	leaf
	https://purl.org/ccf/ASCTB-TEMP_lamina-propria-of-fallopian-tube-intramural-segment	lamina propria of Fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube	https://doi.org/10.1016/j.celrep.2021.108978, PMID:16938110, PMID:25994820	leaf
	https://purl.org/ccf/ASCTB-TEMP_lamina-propria-of-fallopian-tube-isthmus	lamina propria of Fallopian tube isthmus		UBERON:0016632	isthmus of fallopian tube	https://doi.org/10.1016/j.celrep.2021.108978, PMID:25994820, PMID:16938110	leaf
	https://purl.org/ccf/ASCTB-TEMP_lymphatic-of-mesosalpinx	lymphatic of mesosalpinx		https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx	serous membrane lining of mesosalpinx		leaf
	https://purl.org/ccf/ASCTB-TEMP_mesothelium-of-mesosalpinx	mesothelium of mesosalpinx		UBERON:0012331	mesosalpinx	https://doi.org/10.1016/B978-0-12-801238-3.64401-X	leaf
	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-ampulla	middle muscle layer of fallopian tube ampulla		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-infundibulum	middle muscle layer of fallopian tube infundibulum		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-intramural-segment	middle muscle layer of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment		leaf
