table	as_iri	label	uberon_id	parent_id	parent_label	references	term_type
	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-isthmus	middle muscle layer of fallopian tube isthmus		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-ampulla	mucosa of fallopian tube ampulla		https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-ampulla	plica of Fallopian tube ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-fimbria	mucosa of fallopian tube fimbria		UBERON:8410010	fimbria of uterine tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-infundibulum	mucosa of fallopian tube infundibulum		https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-infundibulum	plica of Fallopian tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-intramural-segment	mucosa of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-intramural-segment	plica of Fallopian tube intramural segment		leaf
	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-isthmus	mucosa of fallopian tube isthmus		https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-isthmus	plica of Fallopian tube isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of Fallopian tube ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of Fallopian tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment	wall of Fallopian tube intramural segment		leaf
	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus	wall of Fallopian tube isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_nerve-of-fallopian-tube-ampulla	nerve of fallopian tube ampulla		UBERON:0012648	ampulla of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_nerve-of-fallopian-tube-fimbria	nerve of fallopian tube fimbria		UBERON:8410010	fimbria of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_nerve-of-fallopian-tube-infundibulum	nerve of fallopian tube infundibulum		UBERON:0003984	uterine tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_nerve-of-fallopian-tube-intramural-segment	nerve of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_nerve-of-fallopian-tube-isthmus	nerve of fallopian tube isthmus		UBERON:0016632	isthmus of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_nerve-of-mesosalpinx	nerve of mesosalpinx		https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx	serous membrane lining of mesosalpinx		leaf
	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-ampulla	outer muscle layer of fallopian tube ampulla		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-infundibulum	outer muscle layer of fallopian tube infundibulum		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-intramural-segment	outer muscle layer of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment		leaf
	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-isthmus	outer muscle layer of fallopian tube isthmus		https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-ampulla	plica of fallopian tube ampulla		UBERON:0012648	ampulla of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-infundibulum	plica of fallopian tube infundibulum		UBERON:0003984	uterine tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-intramural-segment	plica of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-isthmus	plica of fallopian tube isthmus		UBERON:0016632	isthmus of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_serosa-of-fallopian-tube-ampulla	serosa of fallopian tube ampulla		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of Fallopian tube ampulla		leaf
	https://purl.org/ccf/ASCTB-TEMP_serosa-of-fallopian-tube-infundibulum	serosa of fallopian tube infundibulum		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of Fallopian tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_serosa-of-fallopian-tube-intramural-segment	serosa of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment	wall of Fallopian tube intramural segment		leaf
	https://purl.org/ccf/ASCTB-TEMP_serosa-of-fallopian-tube-isthmus	serosa of fallopian tube isthmus		https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus	wall of Fallopian tube isthmus		leaf
	https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx	serous membrane lining of mesosalpinx		UBERON:0012331	mesosalpinx		leaf
	https://purl.org/ccf/ASCTB-TEMP_vasculature-of-fallopian-tube-ampulla	vasculature of Fallopian tube ampulla		UBERON:0012648	ampulla of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_vasculature-of-fallopian-tube-fimbria	vasculature of Fallopian tube fimbria		UBERON:8410010	fimbria of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_vasculature-of-fallopian-tube-infundibulum	vasculature of Fallopian tube infundibulum		UBERON:0003984	uterine tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_vasculature-of-fallopian-tube-intramural-segment	vasculature of Fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_vasculature-of-fallopian-tube-isthmus	vasculature of Fallopian tube isthmus		UBERON:0016632	isthmus of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_vasculature-of-mesosalpinx	vasculature of mesosalpinx		https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx	serous membrane lining of mesosalpinx		leaf
	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of fallopian tube ampulla		UBERON:0012648	ampulla of fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of fallopian tube infundibulum		UBERON:0003984	uterine tube infundibulum		leaf
	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment	wall of fallopian tube intramural segment		https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube		leaf
	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus	wall of fallopian tube isthmus		UBERON:0016632	isthmus of fallopian tube		leaf
