label	as_iri	issue_type	parent_id	parent_label	detail
basement membrane of fallopian tube ampulla	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of Fallopian tube ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
basement membrane of fallopian tube infundibulum	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of Fallopian tube infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
basement membrane of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment	wall of Fallopian tube intramural segment	Parent not yet in UBERON; subagent should search OLS4 for correct parent
basement membrane of fallopian tube isthmus	https://purl.org/ccf/ASCTB-TEMP_basement-membrane-of-fallopian-tube-isthmus	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus	wall of Fallopian tube isthmus	Parent not yet in UBERON; subagent should search OLS4 for correct parent
fluid of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_fluid-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inner muscle layer of fallopian tube ampulla	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inner muscle layer of fallopian tube infundibulum	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inner muscle layer of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment	Parent not yet in UBERON; subagent should search OLS4 for correct parent
inner muscle layer of fallopian tube isthmus	https://purl.org/ccf/ASCTB-TEMP_inner-muscle-layer-of-fallopian-tube-isthmus	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lamina propria of Fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_lamina-propria-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube	Parent not yet in UBERON; subagent should search OLS4 for correct parent
lymphatic of mesosalpinx	https://purl.org/ccf/ASCTB-TEMP_lymphatic-of-mesosalpinx	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx	serous membrane lining of mesosalpinx	Parent not yet in UBERON; subagent should search OLS4 for correct parent
middle muscle layer of fallopian tube ampulla	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
middle muscle layer of fallopian tube infundibulum	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
middle muscle layer of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment	Parent not yet in UBERON; subagent should search OLS4 for correct parent
middle muscle layer of fallopian tube isthmus	https://purl.org/ccf/ASCTB-TEMP_middle-muscle-layer-of-fallopian-tube-isthmus	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus	Parent not yet in UBERON; subagent should search OLS4 for correct parent
mucosa of fallopian tube ampulla	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-ampulla	plica of Fallopian tube ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
mucosa of fallopian tube infundibulum	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-infundibulum	plica of Fallopian tube infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
mucosa of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-intramural-segment	plica of Fallopian tube intramural segment	Parent not yet in UBERON; subagent should search OLS4 for correct parent
mucosa of fallopian tube isthmus	https://purl.org/ccf/ASCTB-TEMP_mucosa-of-fallopian-tube-isthmus	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-isthmus	plica of Fallopian tube isthmus	Parent not yet in UBERON; subagent should search OLS4 for correct parent
muscle layer of oviduct ampulla	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of Fallopian tube ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
muscle layer of oviduct infundibulum	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of Fallopian tube infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
muscle layer of oviduct intramural segment	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-intramural-segment	wall of Fallopian tube intramural segment	Parent not yet in UBERON; subagent should search OLS4 for correct parent
muscle layer of oviduct isthmus	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-isthmus	wall of Fallopian tube isthmus	Parent not yet in UBERON; subagent should search OLS4 for correct parent
nerve of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_nerve-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube	Parent not yet in UBERON; subagent should search OLS4 for correct parent
nerve of mesosalpinx	https://purl.org/ccf/ASCTB-TEMP_nerve-of-mesosalpinx	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx	serous membrane lining of mesosalpinx	Parent not yet in UBERON; subagent should search OLS4 for correct parent
outer muscle layer of fallopian tube ampulla	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-ampulla	muscle layer of oviduct ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
outer muscle layer of fallopian tube infundibulum	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-infundibulum	muscle layer of oviduct infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
outer muscle layer of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-intramural-segment	muscle layer of oviduct intramural segment	Parent not yet in UBERON; subagent should search OLS4 for correct parent
outer muscle layer of fallopian tube isthmus	https://purl.org/ccf/ASCTB-TEMP_outer-muscle-layer-of-fallopian-tube-isthmus	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_muscle-layer-of-oviduct-isthmus	muscle layer of oviduct isthmus	Parent not yet in UBERON; subagent should search OLS4 for correct parent
plica of fallopian tube intramural segment	https://purl.org/ccf/ASCTB-TEMP_plica-of-fallopian-tube-intramural-segment	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_intramural-segment-of-fallopian-tube	intramural segment of Fallopian tube	Parent not yet in UBERON; subagent should search OLS4 for correct parent
serosa of fallopian tube ampulla	https://purl.org/ccf/ASCTB-TEMP_serosa-of-fallopian-tube-ampulla	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-ampulla	wall of Fallopian tube ampulla	Parent not yet in UBERON; subagent should search OLS4 for correct parent
serosa of fallopian tube infundibulum	https://purl.org/ccf/ASCTB-TEMP_serosa-of-fallopian-tube-infundibulum	asctb_temp_parent	https://purl.org/ccf/ASCTB-TEMP_wall-of-fallopian-tube-infundibulum	wall of Fallopian tube infundibulum	Parent not yet in UBERON; subagent should search OLS4 for correct parent
