ID	LABEL	Definition	def_xref	is_a	part_of	develops_from	In_subset	Date	Contributor	Present_in_taxon	Wikipedia_image	xref
ID	LABEL	A IAO:0000115	>A oboInOwl:hasDbXref SPLIT=|	SC %	SC BFO:0000050 some %	SC RO:0002202 some %	AI oboInOwl:inSubset	AT dcterms:date^^xsd:dateTime	AI dcterms:contributor	AI RO:0002175	A foaf:depiction	A oboInOwl:hasDbXref SPLIT=|
http://purl.obolibrary.org/obo/UBERON_9920001	amygdaloid complex	[PENDING]	https://doi.org/10.1101/2022.10.12.511898|https://purl.org/ccf/ASCTB-TEMP_amygdaloid-complex	INFER:UBERON:0019264	INFER:UBERON:0019264		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920002	atrium of lateral ventricle	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_atrium-of-lateral-ventricle	INFER:UBERON:0002285	INFER:UBERON:0002285		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920003	body of hippocampus	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_body-of-hippocampus	INFER:UBERON:0002421	INFER:UBERON:0002421		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920004	cingulate gyrus, retrospleninal part	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_cingulate-gyrus-retrospleninal-part	INFER:UBERON:0002967	INFER:UBERON:0002967		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920005	extended amygdala	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_extended-amygdala	INFER:UBERON:0001876	INFER:UBERON:0001876		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920006	frontomarginal gyrus	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_frontomarginal-gyrus	INFER:UBERON:0016525	INFER:UBERON:0016525		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920007	head of hippocampus	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_head-of-hippocampus	INFER:UBERON:0002421	INFER:UBERON:0002421		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920008	ifj1	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_ifj1	UNRESOLVABLE:inferior frontal junction	UNRESOLVABLE:inferior frontal junction		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920009	ifj2	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_ifj2	UNRESOLVABLE:inferior frontal junction	UNRESOLVABLE:inferior frontal junction		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920010	ifs1	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_ifs1	INFER:UBERON:0002761	INFER:UBERON:0002761		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920011	ifs2	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_ifs2	INFER:UBERON:0002761	INFER:UBERON:0002761		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920012	ifs3	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_ifs3	INFER:UBERON:0002761	INFER:UBERON:0002761		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920013	ifs4	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_ifs4	INFER:UBERON:0002761	INFER:UBERON:0002761		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920014	inferior frontal junction	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_inferior-frontal-junction	INFER:UBERON:0016525	INFER:UBERON:0016525		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920015	occipitoparietal transition region	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_occipitoparietal-transition-region	INFER:UBERON:0002021	INFER:UBERON:0002021		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920016	occipitotemporal (fusiform) gyrus, occipital part	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_occipitotemporal-fusiform-gyrus-occipital-part	INFER:UBERON:0002021	INFER:UBERON:0002021		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920017	occipitotemporal transition region	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_occipitotemporal-transition-region	INFER:UBERON:0002021	INFER:UBERON:0002021		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
http://purl.obolibrary.org/obo/UBERON_9920018	septal nuclei	[PENDING]	https://purl.org/ccf/ASCTB-TEMP_septal-nuclei	INFER:UBERON:0002743	INFER:UBERON:0002743		http://purl.obolibrary.org/obo/uberon/core#added_by_HRA	2026-05-25T00:00:00Z	https://orcid.org/0000-0002-2999-0103	http://purl.obolibrary.org/obo/NCBITaxon_9606		
