uberon_id	label	cxg_datasets	direct_cell_types	cell_types_incl_subparts	in_subsets	status
UBERON:0001896	medulla oblongata	38	0	5	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0001159	sigmoid colon	38	1	1	efo_slim|uberon_slim	DIRECT
UBERON:0000029	lymph node	38	3	25	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001875	globus pallidus	38	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0001876	amygdala	37	2	2	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001117	caudate lobe of liver	37	0	0	uberon_slim	NO_LINK
UBERON:0002883	central amygdaloid nucleus	37	0	0		NO_LINK
UBERON:0013556	Brodmann (1909) area 25	37	0	0		NO_LINK
UBERON:0034893	agranular insular cortex	37	0	0		NO_LINK
UBERON:0006108	corticomedial nuclear complex	37	0	0		NO_LINK
UBERON:0001950	neocortex	37	7	36	pheno_slim|uberon_slim	DIRECT
UBERON:0006083	perirhinal cortex	37	0	0	efo_slim	NO_LINK
UBERON:0000988	pons	36	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0002728	entorhinal cortex	36	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0002028	hindbrain	36	2	14	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0006094	superior parietal cortex	36	0	0		NO_LINK
UBERON:8480065	labial gland	36	0	0		NO_LINK
UBERON:0007225	lateral entorhinal cortex	35	0	0		NO_LINK
UBERON:0006483	Brodmann (1909) area 46	34	0	0		NO_LINK
UBERON:0002080	heart right ventricle	34	1	1	pheno_slim|uberon_slim	DIRECT
UBERON:0002240	spinal cord	34	7	12	cumbo|efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002981	pulvinar nucleus	34	0	0	uberon_slim	NO_LINK
UBERON:0006101	Brodmann (1909) area 24	34	0	0		NO_LINK
UBERON:0002038	substantia nigra	33	1	1	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0000362	renal medulla	33	1	24	pheno_slim	DIRECT
UBERON:0002108	small intestine	32	7	43	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0009835	anterior cingulate cortex	32	0	0		NO_LINK
UBERON:0004720	cerebellar vermis	31	0	0	pheno_slim	NO_LINK
UBERON:0002097	skin of body	31	3	46	efo_slim|major_organ|pheno_slim|uberon_slim	DIRECT
UBERON:0002630	body of caudate nucleus	31	0	0		NO_LINK
UBERON:0014644	cerebrocerebellum	31	0	0	pheno_slim	NO_LINK
UBERON:0002098	apex of heart	31	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0006107	basolateral amygdaloid nuclear complex	31	0	0		NO_LINK
UBERON:0001153	caecum	31	1	1	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002886	lateral amygdaloid nucleus	31	0	0		NO_LINK
UBERON:0007224	medial entorhinal cortex	30	0	0		NO_LINK
UBERON:0001893	telencephalon	30	0	89	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0002266	anterior olfactory nucleus	29	0	0	uberon_slim	NO_LINK
UBERON:0002736	lateral nuclear group of thalamus	29	0	0	uberon_slim	NO_LINK
UBERON:0002206	mammillary body	29	1	1	pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002657	posterior parahippocampal gyrus	29	0	0		NO_LINK
UBERON:0002023	claustrum of brain	29	0	0	uberon_slim	NO_LINK
UBERON:0001157	transverse colon	28	1	1	efo_slim|uberon_slim	DIRECT
UBERON:0001894	diencephalon	28	0	26	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0006479	Brodmann (1909) area 38	28	0	0		NO_LINK
UBERON:0019267	gray matter of midbrain	27	0	0		NO_LINK
UBERON:0002094	interventricular septum	27	3	3	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0013554	Brodmann (1909) area 23	27	0	0		NO_LINK
UBERON:0034892	granular insular cortex	27	0	0		NO_LINK
UBERON:0002151	pontine nuclear group	27	0	0	uberon_slim	NO_LINK
UBERON:0013682	peripheral region of retina	26	0	0		NO_LINK
UBERON:0002885	accessory basal amygdaloid nucleus	26	0	0		NO_LINK
UBERON:0001052	rectum	26	2	2	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002367	prostate gland	26	6	13	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001156	ascending colon	26	1	1	efo_slim|uberon_slim	DIRECT
UBERON:0006092	cuneus cortex	25	0	0		NO_LINK
UBERON:0003126	trachea	25	3	9	efo_slim|major_organ|pheno_slim|uberon_slim	DIRECT
UBERON:0002272	medial zone of hypothalamus	25	0	1		INHERITED_ONLY
UBERON:0023787	subicular complex	25	0	0		NO_LINK
UBERON:0007635	nucleus of medulla oblongata	25	0	0		NO_LINK
UBERON:0002733	intralaminar nuclear group	25	0	0	uberon_slim	NO_LINK
UBERON:0001944	pretectal region	25	0	0	pheno_slim|uberon_slim|vertebrate_core	NO_LINK
UBERON:0000945	stomach	25	3	19	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002983	lateral posterior nucleus of thalamus	25	0	0		NO_LINK
UBERON:0001927	medial geniculate body	24	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0002185	bronchus	24	4	15	efo_slim|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001786	fovea centralis	24	1	1	pheno_slim|uberon_slim	DIRECT
UBERON:0002637	ventral anterior nucleus of thalamus	24	0	0	uberon_slim	NO_LINK
UBERON:0002788	anterior nuclear group	24	0	0	uberon_slim|vertebrate_core	NO_LINK
UBERON:0002078	right cardiac atrium	24	0	2	pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0000966	retina	24	8	22	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001899	epithalamus	24	0	1	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0002435	striatum	24	1	10	pheno_slim|uberon_slim	DIRECT
UBERON:0001929	supraoptic nucleus	24	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0003023	pontine tegmentum	24	0	0	uberon_slim	NO_LINK
UBERON:0006956	buccal mucosa	24	0	0	pheno_slim	NO_LINK
UBERON:0002769	superior temporal gyrus	23	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0013531	retrosplenial region	23	0	0	pheno_slim	NO_LINK
UBERON:0002115	jejunum	23	2	3	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0034774	uncal CA1	23	0	0		NO_LINK
UBERON:0001906	subthalamic nucleus	23	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0002190	subcutaneous adipose tissue	23	1	1	pheno_slim	DIRECT
UBERON:0001928	preoptic area	23	0	1	efo_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0000160	intestine	23	2	144	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0007634	parabrachial nucleus	22	0	0		NO_LINK
UBERON:0000948	heart	22	5	34	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001947	red nucleus	22	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0013561	Brodmann (1909) area 43	22	0	0		NO_LINK
UBERON:0034991	anterior cortical amygdaloid nucleus	22	0	0		NO_LINK
UBERON:0002143	dorsal tegmental nucleus	22	0	0	vertebrate_core	NO_LINK
UBERON:0009661	midbrain nucleus	21	0	0		NO_LINK
UBERON:0013573	Brodmann (1909) area 40	21	0	0		NO_LINK
UBERON:0022395	temporal fusiform gyrus	21	0	0		NO_LINK
UBERON:0001890	forebrain	21	4	119	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0013545	Brodmann (1909) area 14	21	0	0		NO_LINK
UBERON:0015233	nucleus of dorsal thalamus	21	0	0		NO_LINK
UBERON:0002573	pontine reticular formation	21	0	0	uberon_slim	NO_LINK
UBERON:0002127	inferior olivary complex	21	0	0	pheno_slim|uberon_slim|vertebrate_core	NO_LINK
UBERON:0010000	multicellular anatomical structure	21	0	1228	common_anatomy|upper_level	INHERITED_ONLY
UBERON:0002130	cerebellar nuclear complex	21	0	0	uberon_slim	NO_LINK
UBERON:0013544	Brodmann (1909) area 13	21	0	0		NO_LINK
UBERON:0001158	descending colon	21	1	1	efo_slim|uberon_slim	DIRECT
UBERON:0001161	body of stomach	21	0	0	uberon_slim	NO_LINK
UBERON:0001925	ventral lateral nucleus of thalamus	21	0	0	uberon_slim|vertebrate_core	NO_LINK
UBERON:0001831	parotid gland	20	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0014370	extrastriate cortex	20	0	0		NO_LINK
UBERON:0008345	ileal epithelium	20	1	1		DIRECT
UBERON:0034779	rostral CA3	20	0	0		NO_LINK
UBERON:0002998	inferior frontal gyrus	20	0	0	uberon_slim	NO_LINK
UBERON:0001295	endometrium	20	0	7	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:2000392	median tuberal portion	19	0	0		NO_LINK
UBERON:0001005	respiratory airway	19	0	84	grouping_class|uberon_slim	INHERITED_ONLY
UBERON:0013560	Brodmann (1909) area 32	19	0	0		NO_LINK
UBERON:0009472	axilla	18	0	0	efo_slim|pheno_slim	NO_LINK
UBERON:0002079	left cardiac atrium	18	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0002336	corpus callosum	18	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0001870	frontal cortex	17	0	8	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0002972	centromedian nucleus of thalamus	17	0	0	uberon_slim	NO_LINK
UBERON:0000059	large intestine	17	4	71	efo_slim|major_organ|organ_slim|pheno_slim	DIRECT
UBERON:0016530	parietal cortex	17	0	0	pheno_slim	NO_LINK
UBERON:0001238	lamina propria of small intestine	17	3	3		DIRECT
UBERON:0001897	dorsal plus ventral thalamus	17	0	3	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0001264	pancreas	17	6	16	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0003354	epithelium of rectum	17	1	1		DIRECT
UBERON:0002743	basal forebrain	17	0	11	uberon_slim	INHERITED_ONLY
UBERON:0000397	colonic epithelium	17	6	6	vertebrate_core	DIRECT
UBERON:0005383	caudate-putamen	16	0	0	efo_slim|pheno_slim	NO_LINK
UBERON:0016538	temporal cortex	16	0	0		NO_LINK
UBERON:0002351	sinoatrial node	16	2	2	pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001828	gingiva	16	1	2	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0000175	pleural effusion	16	0	0		NO_LINK
UBERON:0002369	adrenal gland	16	1	8	organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001043	esophagus	16	1	5	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001296	myometrium	16	1	1	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001871	temporal lobe	16	0	2	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0006088	inferior parietal cortex	15	0	0	efo_slim	NO_LINK
UBERON:0010225	thalamic complex	15	1	15		DIRECT
UBERON:0002734	superior temporal sulcus	15	0	0		NO_LINK
UBERON:0016540	occipital cortex	15	0	0		NO_LINK
UBERON:0001911	mammary gland	15	5	9	efo_slim|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:8600035	ileum lamina propria	15	0	0		NO_LINK
UBERON:0002626	head of caudate nucleus	15	0	0		NO_LINK
UBERON:0002822	macula lutea proper	15	0	0		NO_LINK
UBERON:0002103	hindlimb	14	0	6	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0022232	secondary visual cortex	14	0	0		NO_LINK
UBERON:0000033	head	14	0	84	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0001723	tongue	14	0	1	efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0008952	upper lobe of left lung	14	0	0		NO_LINK
UBERON:0001165	pyloric antrum	14	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0036214	rectosigmoid junction	14	0	0		NO_LINK
UBERON:0000947	aorta	14	0	2	efo_slim|grouping_class|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0000956	cerebral cortex	14	20	68	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0019207	chorioretinal region	14	0	24	pheno_slim	INHERITED_ONLY
UBERON:0006514	pallidum	14	0	0		NO_LINK
UBERON:8440051	lower layers of the cortex	13	0	0		NO_LINK
UBERON:0001851	cortex	13	0	0	pheno_slim|uberon_slim|upper_level	NO_LINK
UBERON:0000964	cornea	13	0	2	efo_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0002474	cerebellar peduncular complex	13	0	0	uberon_slim	NO_LINK
UBERON:0007177	lamina propria of mucosa of colon	13	1	1		DIRECT
UBERON:0006102	Brodmann (1909) area 35	12	0	0		NO_LINK
UBERON:8440044	upper layers of the cortex	12	0	0		NO_LINK
UBERON:0000454	cerebral subcortex	12	0	15	pheno_slim	INHERITED_ONLY
UBERON:0001895	metencephalon	12	0	6	pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0000473	testis	12	1	7	efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0008953	lower lobe of left lung	12	0	0		NO_LINK
UBERON:0001758	periodontium	12	1	2	pheno_slim	DIRECT
UBERON:0001255	urinary bladder	12	3	5	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001773	sclera	12	1	1	pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0003889	fallopian tube	12	2	2	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002352	atrioventricular node	12	2	2	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002119	left ovary	12	1	1		DIRECT
UBERON:0000317	colonic mucosa	12	0	3	efo_slim	INHERITED_ONLY
UBERON:0002118	right ovary	12	1	1		DIRECT
UBERON:0001166	pylorus	11	0	1	pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0001154	vermiform appendix	11	12	17	efo_slim|organ_slim|uberon_slim	DIRECT
UBERON:0001013	adipose tissue	11	3	5	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0007644	thoracic lymph node	11	0	0		NO_LINK
UBERON:0000006	islet of Langerhans	11	5	5	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001976	epithelium of esophagus	11	3	3	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001902	epithelium of small intestine	11	9	13	vertebrate_core	DIRECT
UBERON:0001736	submandibular gland	11	0	1	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0000453	decidua basalis	11	0	0	efo_slim|pheno_slim	NO_LINK
UBERON:0012652	colorectum	11	0	0		NO_LINK
UBERON:0001542	inguinal lymph node	11	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0008946	lung parenchyma	11	1	10		DIRECT
UBERON:0002360	meninx	11	1	4	efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0003547	brain meninx	10	0	0	organ_slim|pheno_slim	NO_LINK
UBERON:8410026	peripheral zone of prostate	10	0	0	added_for_HCA	NO_LINK
UBERON:0001348	brown adipose tissue	10	1	1	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:8410025	transition zone of prostate	10	0	0	added_for_HCA	NO_LINK
UBERON:0003688	omentum	10	2	2		DIRECT
UBERON:0001416	skin of abdomen	10	1	1	efo_slim|pheno_slim	DIRECT
UBERON:0001103	diaphragm	10	0	0	efo_slim|organ_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0000970	eye	10	1	60	efo_slim|functional_classification|major_organ|organ_slim|uberon_slim	DIRECT
UBERON:0000053	macula lutea	9	0	1	pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0000916	abdomen	9	1	178	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002316	white matter	9	1	1	uberon_slim|vertebrate_core	DIRECT
UBERON:0004035	cortical subplate	9	0	0	pheno_slim	NO_LINK
UBERON:0003548	forebrain meninges	9	0	0		NO_LINK
UBERON:0005282	ventricular system of brain	9	0	10		INHERITED_ONLY
UBERON:0001801	anterior segment of eyeball	9	0	11	pheno_slim|vertebrate_core	INHERITED_ONLY
UBERON:0013706	bone spine	9	0	0		NO_LINK
UBERON:0001114	right lobe of liver	9	0	0	uberon_slim|vertebrate_core	NO_LINK
UBERON:8600034	jejunum lamina propria	9	0	0		NO_LINK
UBERON:0000995	uterus	9	4	17	efo_slim|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0008346	duodenal epithelium	9	4	4		DIRECT
UBERON:0001873	caudate nucleus	9	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0000400	jejunal epithelium	9	1	1		DIRECT
UBERON:0000991	gonad	9	0	0	major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	NO_LINK
UBERON:0001965	substantia nigra pars compacta	9	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:8410010	fimbria of fallopian tube	8	0	0	added_for_HCA	NO_LINK
UBERON:0010409	ocular surface region	8	0	10	pheno_slim	INHERITED_ONLY
UBERON:0022277	hepatic flexure of colon	8	0	0		NO_LINK
UBERON:0001046	hindgut	8	0	0	developmental_classification|pheno_slim|uberon_slim	NO_LINK
UBERON:7770005	ascending colon epithelium	8	0	0		NO_LINK
UBERON:0008803	skin of cheek	8	0	0	pheno_slim	NO_LINK
UBERON:0007650	esophagogastric junction	8	0	0		NO_LINK
UBERON:0035818	visceral fat	8	0	0		NO_LINK
UBERON:0012648	ampulla of fallopian tube	8	0	0		NO_LINK
UBERON:0001115	left lobe of liver	8	0	0	uberon_slim|vertebrate_core	NO_LINK
UBERON:0001276	epithelium of stomach	8	8	8	pheno_slim	DIRECT
UBERON:0004721	crista ampullaris	8	0	2	organ_slim|pheno_slim	INHERITED_ONLY
UBERON:0002792	lumbar spinal cord	8	0	0	uberon_slim	NO_LINK
UBERON:0001040	yolk sac	8	2	2	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0003911	choroid plexus epithelium	8	2	2		DIRECT
UBERON:0016475	skin of forehead	8	0	0	pheno_slim	NO_LINK
UBERON:0000016	endocrine pancreas	8	0	5	efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0001987	placenta	8	9	15	efo_slim|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0000328	gut wall	8	0	0		NO_LINK
UBERON:0013473	lower esophagus	8	0	0		NO_LINK
UBERON:0015476	nose skin	8	0	0		NO_LINK
UBERON:0001162	cardia of stomach	8	0	1	pheno_slim	INHERITED_ONLY
UBERON:0002358	peritoneum	7	1	5	pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001003	skin epidermis	7	11	32	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001802	posterior segment of eyeball	7	0	22	pheno_slim|vertebrate_core	INHERITED_ONLY
UBERON:0013535	Brodmann (1909) area 4	7	0	0		NO_LINK
UBERON:0001817	lacrimal gland	7	1	1	efo_slim|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0000056	ureter	7	1	5	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002298	brainstem	7	1	10	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0008989	submucosal esophageal gland	7	0	0		NO_LINK
UBERON:0004991	mucosa of transverse colon	7	0	0		NO_LINK
UBERON:0001832	sublingual gland	7	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0008612	muscle of pelvic diaphragm	7	0	0		NO_LINK
UBERON:0001621	coronary artery	7	2	2	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0018707	bladder organ	7	0	8		INHERITED_ONLY
UBERON:0016632	isthmus of fallopian tube	7	0	0		NO_LINK
UBERON:0003902	retinal neural layer	7	1	14	pheno_slim|vertebrate_core	DIRECT
UBERON:0001111	intercostal muscle	7	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0008972	right colon	7	0	0		NO_LINK
UBERON:0002378	muscle of abdomen	7	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0003661	limb muscle	7	0	0	pheno_slim	NO_LINK
UBERON:0001868	skin of chest	7	0	0	pheno_slim	NO_LINK
UBERON:0002102	forelimb	6	0	1	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0002372	tonsil	6	3	3	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0010412	epididymal fat pad	6	0	0	pheno_slim	NO_LINK
UBERON:0001516	abdominal aorta	6	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0002317	white matter of cerebellum	6	0	0	pheno_slim|vertebrate_core	NO_LINK
UBERON:0010032	anterior part of tongue	6	0	0		NO_LINK
UBERON:0000057	urethra	6	3	5	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002892	medial amygdaloid nucleus	6	0	0		NO_LINK
UBERON:0001388	gastrocnemius	6	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0004167	orbitofrontal cortex	6	0	0	efo_slim|pheno_slim	NO_LINK
UBERON:0010033	posterior part of tongue	6	0	0		NO_LINK
UBERON:0005636	caecum epithelium	6	0	0		NO_LINK
UBERON:0001811	conjunctiva	6	2	3	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0002081	cardiac atrium	6	2	3	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002770	posterior hypothalamic region	6	1	2		DIRECT
UBERON:8480028	skin of temple	6	0	0		NO_LINK
UBERON:0001711	eyelid	6	1	1	pheno_slim|uberon_slim	DIRECT
UBERON:0008934	secondary somatosensory cortex	6	0	0	pheno_slim	NO_LINK
UBERON:0002686	angular gyrus	6	0	0	uberon_slim	NO_LINK
UBERON:0010414	omental fat pad	6	0	0	pheno_slim	NO_LINK
UBERON:0001900	ventral thalamus	6	0	1	pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0001853	utricle of membranous labyrinth	6	0	2	organ_slim|pheno_slim|uberon_slim|vertebrate_core	INHERITED_ONLY
UBERON:0008814	pharyngeal arch system	6	0	0		NO_LINK
UBERON:0001783	optic disc	6	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0016435	chest wall	6	0	0	pheno_slim	NO_LINK
UBERON:0000941	cranial nerve II	6	0	0	efo_slim|pheno_slim|uberon_slim|vertebrate_core	NO_LINK
UBERON:0002082	cardiac ventricle	6	2	9	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0000017	exocrine pancreas	6	2	7	organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0014614	cervical spinal cord white matter	6	0	0		NO_LINK
UBERON:0002191	subiculum	6	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0002022	insula	6	0	0	uberon_slim	NO_LINK
