uberon_id	label	cxg_datasets	direct_cell_types	cell_types_incl_subparts	in_subsets	status
UBERON:0002113	kidney	156	4	129	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0000178	blood	143	3	3	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002107	liver	123	8	19	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002048	lung	115	10	37	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001384	primary motor cortex	111	7	8	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0000922	embryo	107	5	24	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0000992	ovary	93	6	14	efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002370	thymus	82	10	25	efo_slim|major_organ|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002771	middle temporal gyrus	73	0	0	efo_slim|uberon_slim	NO_LINK
UBERON:0002436	primary visual cortex	70	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0009834	dorsolateral prefrontal cortex	69	0	0		NO_LINK
UBERON:0000310	breast	68	4	5	pheno_slim	DIRECT
UBERON:0002084	heart left ventricle	67	1	1	pheno_slim|uberon_slim	DIRECT
UBERON:0034751	primary auditory cortex	64	0	0		NO_LINK
UBERON:0008933	primary somatosensory cortex	64	0	0	pheno_slim	NO_LINK
UBERON:0001882	nucleus accumbens	63	0	0	efo_slim|pheno_slim|uberon_slim	NO_LINK
UBERON:0002421	hippocampal formation	59	6	12	pheno_slim|uberon_slim	DIRECT
UBERON:0000955	brain	58	4	160	cumbo|efo_slim|major_organ|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002037	cerebellum	55	5	6	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001898	hypothalamus	53	3	11	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0002739	medial dorsal nucleus of thalamus	51	0	0	uberon_slim	NO_LINK
UBERON:0002371	bone marrow	49	7	7	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001155	colon	48	6	21	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0001926	lateral geniculate body	47	0	1	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0002116	ileum	47	2	3	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001891	midbrain	46	1	6	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0000451	prefrontal cortex	45	0	0	efo_slim	NO_LINK
UBERON:0001225	cortex of kidney	45	2	50	pheno_slim|uberon_slim	DIRECT
UBERON:0002314	midbrain tectum	45	0	2	efo_slim|pheno_slim|uberon_slim	INHERITED_ONLY
UBERON:0002663	septal nuclear complex	44	0	1	uberon_slim	INHERITED_ONLY
UBERON:0002509	mesenteric lymph node	44	0	0	pheno_slim	NO_LINK
UBERON:0001874	putamen	43	0	0	pheno_slim|uberon_slim	NO_LINK
UBERON:0003876	hippocampal field	43	0	0	non_informative|pheno_slim	NO_LINK
UBERON:0001885	dentate gyrus of hippocampal formation	42	4	4	efo_slim|pheno_slim|uberon_slim	DIRECT
UBERON:0001880	bed nucleus of stria terminalis	41	0	0	efo_slim	NO_LINK
UBERON:0013550	Brodmann (1909) area 19	41	0	0		NO_LINK
UBERON:0002114	duodenum	41	4	7	efo_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0004725	piriform cortex	41	0	0	pheno_slim	NO_LINK
UBERON:0002751	inferior temporal gyrus	40	0	0	uberon_slim	NO_LINK
UBERON:0002106	spleen	40	4	12	efo_slim|organ_slim|pheno_slim|uberon_slim|vertebrate_core	DIRECT
UBERON:0003017	substantia innominata	38	0	0	uberon_slim	NO_LINK
