1	Nervous system	NS	UBERON:0001016	nervous system
1.1	Cerebrospinal axis	CSA	UBERON:0001017	central nervous system
1.1.1	Cerebral cortex	CTX	UBERON:0000956	cerebral cortex
1.1.1.1	Primary visual cortex	VISp	UBERON:0002436	primary visual cortex
1.1.1.10	Posterior cingulate cortex	RSP	UBERON:0022353	posterior cingulate cortex
1.1.1.12	Olfactory bulb	OB 	UBERON:0002264	olfactory bulb
1.1.1.12.1	Main olfactory bulb	MOB	UBERON:0009951	main olfactory bulb
1.1.1.12.3	Anterior olfactory nucleus	AON	UBERON:0002266	anterior olfactory nucleus
1.1.1.13	Hippocampal formation	HIP	UBERON:0002421	hippocampal formation
1.1.1.13.1	Dentate gyrus	DG	UBERON:0001885	dentate gyrus of hippocampal formation
1.1.1.13.2	CA1 field	CA1	UBERON:0003881	CA1 field of hippocampus
1.1.1.13.3	CA2 field	CA2	UBERON:0003882	CA2 field of hippocampus
1.1.1.13.4	CA3 field	CA3	UBERON:0003883	CA3 field of hippocampus
1.1.1.13.5	Subiculum	Sub	UBERON:0002191	subiculum
1.1.1.14	Insula	INS	UBERON:0002022	insula
1.1.1.15	Piriform cortex	PIR	UBERON:0004725	piriform cortex
1.1.1.16	Entorhinal cortex	ENT	UBERON:0002728	entorhinal cortex
1.1.1.17	Claustrum	CLA	UBERON:0002023	claustrum of brain
1.1.1.18	Endopiriform nucleus	EP	UBERON:0014284	endopiriform nucleus
1.1.1.19	Amygdala	Amy	UBERON:0001876	amygdala
1.1.1.19.3	Central amygdala	CEA	UBERON:0002883	central amygdaloid nucleus
1.1.1.19.5.2	Basolateral complex	BL	UBERON:0006107	basolateral amygdaloid nuclear complex
1.1.1.2	Associative visual cortex	VISa	UBERON:0034750	visual association cortex
1.1.1.3	Primary auditory cortex	AUDp	UBERON:0034751	primary auditory cortex
1.1.1.4	Associative auditory cortex	AUDa	UBERON:0006096	posterior transverse temporal area 42
1.1.1.5	Primary somatosensory cortex	SSp	UBERON:0008933	primary somatosensory cortex
1.1.1.7	Primary motor cortex	MOp	UBERON:0001384	primary motor cortex
1.1.1.9	Anterior cingulate cortex	ACA	UBERON:0009835	anterior cingulate cortex
1.1.1.9	Anterior cingulate cortex	ACA	UBERON:0022438	rostral anterior cingulate cortex
1.1.2	Cerebral nuclei	CNU	UBERON:0010011	collection of basal ganglia
1.1.2.2	Pallidum	PAL	UBERON:0006514	pallidum
1.1.2.2.1	Globus pallidus	GP	UBERON:0001875	globus pallidus
