"term","syn"
"http://purl.obolibrary.org/obo/UBERON_0001301","Nebenhoden@de"
"http://purl.obolibrary.org/obo/UBERON_0001988","matières fécales@fr"
"http://purl.obolibrary.org/obo/UBERON_0001988","merde@fr"
"http://purl.obolibrary.org/obo/UBERON_0001988","partie de la merde@fr"
"http://purl.obolibrary.org/obo/UBERON_0001988","porción de mierda@es"
"http://purl.obolibrary.org/obo/UBERON_0001988","teil der fäkalien@de"
"http://purl.obolibrary.org/obo/UBERON_0000948","Herz@de"
"http://purl.obolibrary.org/obo/UBERON_0008904","cyatocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0008904","neuromaste superficiel@fr"
"http://purl.obolibrary.org/obo/UBERON_0000151","nageoire pectorale@fr"
"http://purl.obolibrary.org/obo/UBERON_0000151","omoptérygie@fr"
"http://purl.obolibrary.org/obo/UBERON_0000151","thoracoptérygie@fr"
"http://purl.obolibrary.org/obo/UBERON_0000152","ischioptérygie@fr"
"http://purl.obolibrary.org/obo/UBERON_0000152","nageoire pelvienne@fr"
"http://purl.obolibrary.org/obo/UBERON_0002534","artioptérygie@fr"
"http://purl.obolibrary.org/obo/UBERON_0002534","nageoire paire@fr"
"http://purl.obolibrary.org/obo/UBERON_0001058","corps pédonculés@fr"
"http://purl.obolibrary.org/obo/UBERON_0003097","nageoire dorsale@fr"
"http://purl.obolibrary.org/obo/UBERON_0003097","notoptérygie@fr"
"http://purl.obolibrary.org/obo/UBERON_0002949","tratto tettospinale@it"
"http://purl.obolibrary.org/obo/UBERON_0009050","Geschmackskern@de"
"http://purl.obolibrary.org/obo/UBERON_0001681","adnasal@fr"
"http://purl.obolibrary.org/obo/UBERON_0001681","nasal@fr"
"http://purl.obolibrary.org/obo/UBERON_0001737","Kehlkopf@de"
"http://purl.obolibrary.org/obo/UBERON_0002373","Gaumenmandel@de"
"http://purl.obolibrary.org/obo/UBERON_0001076","épine neurale@fr"
"http://purl.obolibrary.org/obo/UBERON_0001076","neuracanthe@fr"
"http://purl.obolibrary.org/obo/UBERON_0016491","centre vertébral@fr"
"http://purl.obolibrary.org/obo/UBERON_0016491","périchorde@fr"
"http://purl.obolibrary.org/obo/UBERON_0002199","Hautsystem@de"
"http://purl.obolibrary.org/obo/UBERON_0006849","hypercoracocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0006849","hypercoracocïdeum@fr"
"http://purl.obolibrary.org/obo/UBERON_0006849","scapula@fr"
"http://purl.obolibrary.org/obo/UBERON_0007798","Gefaesssystem@de"
"http://purl.obolibrary.org/obo/UBERON_0002075","Organsystem@de"
"http://purl.obolibrary.org/obo/UBERON_0001692","basinial@fr"
"http://purl.obolibrary.org/obo/UBERON_0001692","basinioste@fr"
"http://purl.obolibrary.org/obo/UBERON_0001692","basioccipital@fr"
"http://purl.obolibrary.org/obo/UBERON_0001693","exoccipital@fr"
"http://purl.obolibrary.org/obo/UBERON_0001693","occipital latéral@fr"
"http://purl.obolibrary.org/obo/UBERON_0001693","pleurinial@fr"
"http://purl.obolibrary.org/obo/UBERON_0001693","pleurinioste@fr"
"http://purl.obolibrary.org/obo/UBERON_0002070","bauchspeicheldrüsenzwölffingerdarmpulsader@de"
"http://purl.obolibrary.org/obo/UBERON_0002478","conchosphénocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0002478","orbito-sphénocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0003153","Kopfkapsel@de"
"http://purl.obolibrary.org/obo/UBERON_0004868","tapis luisant@fr"
"http://purl.obolibrary.org/obo/UBERON_0004741","cleithrum@fr"
"http://purl.obolibrary.org/obo/UBERON_0004741","clithra@fr"
"http://purl.obolibrary.org/obo/UBERON_0004741","clithrum@fr"
"http://purl.obolibrary.org/obo/UBERON_0004743","coracocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0004743","hypocoracocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0004747","acrinial@fr"
"http://purl.obolibrary.org/obo/UBERON_0004747","acrinioste@fr"
"http://purl.obolibrary.org/obo/UBERON_0004747","supraoccipital@fr"
"http://purl.obolibrary.org/obo/UBERON_0005744","foramens@fr"
"http://purl.obolibrary.org/obo/UBERON_0005744","foramina@fr"
"http://purl.obolibrary.org/obo/UBERON_0005884","hyal@fr"
"http://purl.obolibrary.org/obo/UBERON_0005884","hyocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0006428","basisphénocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0006428","propituital@fr"
"http://purl.obolibrary.org/obo/UBERON_0013176","museau de singe@fr"
"http://purl.obolibrary.org/obo/UBERON_0011238","dermethmocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0011238","mésethmocïde@fr"
"http://purl.obolibrary.org/obo/UBERON_0014735","paleokortikale Regionen@de"
"http://purl.obolibrary.org/obo/UBERON_0016575","lamina IV@es"
"http://purl.obolibrary.org/obo/UBERON_0016575","lamina IV@it"
"http://purl.obolibrary.org/obo/UBERON_0035768","plexus coccygien@fr"
"http://purl.obolibrary.org/obo/UBERON_0035773","plexus aortique abdominal@fr"
"http://purl.obolibrary.org/obo/UBERON_0035774","plexus aortique thoracique@fr"
"http://purl.obolibrary.org/obo/UBERON_0016827","nucleo paramediano dorsale@it"
"http://purl.obolibrary.org/obo/UBERON_0016827","nzcleo reticular paramediano dorsal@es"
"http://purl.obolibrary.org/obo/UBERON_0036144","conduit incisif@fr"
"http://purl.obolibrary.org/obo/UBERON_0014951","iuxtallocorteccia@it"
"http://purl.obolibrary.org/obo/UBERON_0035570","fibre tettotalamiche@it"
"http://purl.obolibrary.org/obo/UBERON_0038951","noeuds lymphatiques supra-pyloriques@fr"
"http://purl.obolibrary.org/obo/UBERON_0036285","pared del ventrC-culo izquierdo@es"
"http://purl.obolibrary.org/obo/UBERON_0036286","pared del ventrC-culo derecho@es"
"http://purl.obolibrary.org/obo/UBERON_0038920","noeuds lymphatiques buccinateurs@fr"
"http://purl.obolibrary.org/obo/UBERON_0038922","noeud lymphatique naso-labial@fr"
"http://purl.obolibrary.org/obo/UBERON_0038923","noeud lymphatique malaire@fr"
"http://purl.obolibrary.org/obo/UBERON_0038936","noeud lymphatique jugulodigastrique@fr"
