tables,as,as_label,UBERON ID,Pull Request/Issue,parents_as,parents_as_label,references
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_anterior-interosseous-lymphatic-channel,anterior interosseous lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superior-ulnar-lymph-node,superior ulnar lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_anterior-lymph-trunk-of-accompanying-suprarenal-vein,anterior lymph trunk of accompanying suprarenal vein,,,FMA:323951,Pre-aortic thoracic lymph node group,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_circumflex-lymphatic-channel,circumflex lymphatic channel,,,FMA:14187,Subscapular lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_collecting-lymph-trunk-of-lymphatics-of-soft-parts-covering-posterior-thoracic-wall,collecting lymph trunk of lymphatics of soft parts covering posterior thoracic wall,,,FMA:276805,Axillary lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_cubital-fossa-lymph-node,cubital fossa lymph node,,,FMA:234924,Brachial lymphatic vessel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_deep-lymph-node-of-neck,deep lymph node of neck,,,https://purl.org/ccf/ASCTB-TEMP_posterior-extrathoracic-lymph-node,posterior extrathoracic lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_deep-radial-lymphatic-channel,deep radial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_cubital-fossa-lymph-node,cubital fossa lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_deep-ulnar-lymphatic-channel,deep ulnar lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superior-ulnar-lymph-node,superior ulnar lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_efferent-lymphatics-from-fifth-or-sixth-lowermost-intercostal-spaces,efferent lymphatics from fifth or sixth lowermost intercostal spaces,,,UBERON:0001631,thoracic duct,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_efferent-lymphatics-from-third-fourth-and-fifth-intercostal-spaces,"efferent lymphatics from third, fourth, and fifth intercostal spaces",,,UBERON:0001631,thoracic duct,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_epitrochlear-lymph-node,epitrochlear lymph node,,,FMA:234924,Brachial lymphatic vessel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_index-finger-lateral-lymphatic-channel,index finger lateral lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_radial-lymphatic-channel,radial lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_index-finger-medial-lymphatic-channel,index finger medial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_radial-lymphatic-channel,radial lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_lateral-lymphatic-pathway-of-upper-arm,lateral lymphatic pathway of upper arm,,,UBERON:0035279,supraclavicular lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_left-anterior-mediastinal-lymph-node,left anterior mediastinal lymph node,,,UBERON:0001631,thoracic duct,
