tables,as,as_label,UBERON ID,Pull Request/Issue,parents_as,parents_as_label,references
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_left-collecting-lymph-trunk-of-lymphatics-of-ovary,left collecting lymph trunk of lymphatics of ovary,,,FMA:323951,Pre-aortic thoracic lymph node group,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_left-lateral-aortic-lymph-node,left lateral aortic lymph node,,,FMA:5841,Left lumbar lymphatic trunk,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_left-suprabronchial-lymph-node-of-superior-lymph-collecting-vessel-of-superior-inferior-lobe-of-left-lung,left suprabronchial lymph node of superior lymph collecting vessel of superior inferior lobe of left lung,,,https://purl.org/ccf/ASCTB-TEMP_left-anterior-mediastinal-lymph-node,left anterior mediastinal lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_little-finger-lateral-lymphatic-channel,little finger lateral lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superficial-ulnar-lymphatic-channel,superficial ulnar lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_little-finger-medial-lymphatic-channel,little finger medial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superficial-ulnar-lymphatic-channel,superficial ulnar lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_lymphatics-of-great-omentum,lymphatics of great omentum,,,UBERON:0005435,upper part of cisterna chyli,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_lymphatics-of-pleura-pericardium-heart-thymus-and-left-lung,"lymphatics of pleura, pericardium, heart, thymus, and left lung",,,https://purl.org/ccf/ASCTB-TEMP_left-anterior-mediastinal-lymph-node,left anterior mediastinal lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_medial-lymph-node-of-common-illiac-lymph-nodes,medial lymph node of common illiac lymph nodes,,,FMA:323951,Pre-aortic thoracic lymph node group,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_medial-lymph-trunk-of-principal-axillary-lymph-vessel,medial lymph trunk of principal axillary lymph vessel,,,FMA:276805,Axillary lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_medial-lymphatic-pathway-of-upper-arm,medial lymphatic pathway of upper arm,,,FMA:71749,Central axillary lymph node group,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_middle-finger-lateral-lymphatic-channel,middle finger lateral lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_radial-lymphatic-channel,radial lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_middle-finger-medial-lymphatic-channel,middle finger medial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superficial-ulnar-lymphatic-channel,superficial ulnar lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_palmar-arch-lymphatic-channel,palmar arch lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_anterior-interosseous-lymphatic-channel,anterior interosseous lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_posterior-extrathoracic-lymph-node,posterior extrathoracic lymph node,,,FMA:276805,Axillary lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_posterior-interosseous-lymphatic-channel,posterior interosseous lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superior-ulnar-lymph-node,superior ulnar lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_radial-lymphatic-channel,radial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_lateral-lymphatic-pathway-of-upper-arm,lateral lymphatic pathway of upper arm,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_retropectoral-lymph-vessel,retropectoral lymph vessel,,,FMA:12252,Subclavian lymphatic trunk,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_right-anterior-mediastinal-lymph-node,right anterior mediastinal lymph node,,,FMA:5832,Right lymphatic duct,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_right-collecting-lymph-trunk-of-lymphatics-of-testicle,right collecting lymph trunk of lymphatics of testicle,,,FMA:323951,Pre-aortic thoracic lymph node group,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_right-lateral-aortic-lymph-node,right lateral aortic lymph node,,,FMA:5841,Left lumbar lymphatic trunk,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_ring-finger-lateral-lymphatic-channel,ring finger lateral lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superficial-ulnar-lymphatic-channel,superficial ulnar lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_ring-finger-medial-lymphatic-channel,ring finger medial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_superficial-ulnar-lymphatic-channel,superficial ulnar lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_subclavicular-lymph-node,subclavicular lymph node,,,FMA:12252,Subclavian lymphatic trunk,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_superficial-ulnar-lymphatic-channel,superficial ulnar lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_epitrochlear-lymph-node,epitrochlear lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_superior-ulnar-lymph-node,superior ulnar lymph node,,,FMA:234924,Brachial lymphatic vessel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_supraescapular-lymphatic-channel,supraescapular lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_supraspinatus-fossa-lymph-node,supraspinatus fossa lymph node,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_supraspinatus-fossa-lymph-node,supraspinatus fossa lymph node,,,https://purl.org/ccf/ASCTB-TEMP_deep-lymph-node-of-neck,deep lymph node of neck,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_thumb-lateral-lymphatic-channel,thumb lateral lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_radial-lymphatic-channel,radial lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_thumb-medial-lymphatic-channel,thumb medial lymphatic channel,,,https://purl.org/ccf/ASCTB-TEMP_radial-lymphatic-channel,radial lymphatic channel,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_transpectoral-lymph-vessel,transpectoral lymph vessel,,,FMA:12252,Subclavian lymphatic trunk,
lymph-vasculature,https://purl.org/ccf/ASCTB-TEMP_transverse-cervical-lymph-node,transverse cervical lymph node,,,UBERON:0001631,thoracic duct,
